company,title,sentiment
Apple,"Apple airlifts 600 tons of iPhones from India 'to beat' Trump tariffs, sources say - Reuters",Neutral
Apple,"Despite the rally, Apple still faces a trade-war nightmare - The Economist",Neutral
Apple,How Apple Watch Ultra helped rescue an Australian surfer stranded in ocean waters - Hindustan Times,Neutral
Apple,Apple Stock Soars $400 Billion: Trump's Tariff Pause Drives 15% Surge - Deccan Herald,Neutral
Apple,The Friday File: Apple’s legal troubles revealed; New GSMA boss opens up on plans - Mobile World Live,Positive
Apple,"Apple is no longer the world’s most valuable company, loses its position to… - Times of India",Positive
Apple,"Apple MacBook Air M4 review: the laptop to beat, now cheaper - The Guardian",Neutral
Apple,Trump’s tariffs & China chaos make ‘iForIndia’ Apple’s new iPhone game plan - The Economic Times,Negative
Apple,How Apple Fumbled Siri’s AI Makeover - The Information,Neutral
Apple,"Apple's foldable iPad and iPhone tipped to launch in 2026: 18.8-inch display, new design leaked - India TV News",Positive
Apple,How Apple 'flew' 5 flights full of iPhones from India and China in 3 days to beat Trump Tariffs - Times of India,Positive
Apple,Apple said to be flying iPhones from India to US to avoid Trump tariffs - The Guardian,Neutral
Apple,Apple airlifts 600 tons of iPhones from India to dodge Trump's China tariffs - India Today,Neutral
Apple,When—and by how much—will Apple raise iPhone prices in the US? And why a 'Made in America' iPhone is unlik - The Economic Times,Positive
Apple,Apple Customers Dash to Stores to Buy iPhones Ahead of Tariffs - Bloomberg.com,Neutral
Apple,Apple eyeing India for iPhone production amid US tariff changes: Report - Business Today,Neutral
Apple,"AI imagines Americans ‘slaving away’ in Nike, Tesla, Apple factories amid Donald Trump’s tariff row - Hindustan Times",Neutral
Apple,Exclusive | Apple Plans to Source More iPhones From India as Potential Tariff Fix - WSJ,Positive
Apple,Apple’s Anti-Tariff Tactic: Flying 1.5 Million iPhones From India - PYMNTS.com,Neutral
Apple,Apple turns to India to help ease Trump’s China tariffs - Financial Times,Neutral
Apple,Apple Intelligence features are now available in India - Apple,Positive
Apple,Apple quickly shipped 600 tons of iPhones to ‘beat’ the new tariffs - The Verge,Positive
Apple,"Apple flew more than a million iPhones out of India on cargo planes to beat tariffs, report says - Yahoo Finance",Positive
Apple,How Apple 'flew' 6 cargo planes to ship 1 million-plus iPhones from India to beat Trump Tariffs: 6-hour 'Green corridor' and more - Times of India,Positive
Apple,In Apple’s footsteps: Will these MNC also now focus on ‘Make in India’? 7 MNC stocks with upside potential - The Economic Times,Positive
Apple,Apple flies iphones from India and China to dodge Trump's tariffs: Report - India Today,Neutral
Apple,Apple looks to manufacture more iPhones in India as Trump’s tariffs hit China harder: Report - Times of India,Positive
Apple,Apple Reportedly Airlifted More than a Million iPhones from India to the U.S.: 'Wanted to Beat the Tariff' - Entrepreneur,Positive
Apple,Here’s how Apple could prevent iPhone prices from going up due to tariffs - MarketWatch,Negative
Apple,"Apple shares soar 15% after Trump tariff pause, marking best day since 1998 - The Indian Express",Positive
Apple,"Apple Exported $17 Billion in iPhones From India Last Year, Minister Says - Bloomberg.com",Neutral
Apple,Apple Loses Title of World's Most Valuable Company as China Tariffs Loom - Investopedia,Positive
Apple,Apple flies in 1.5 million iPhones from India to dodge Trump tariffs on China - Firstpost,Neutral
Apple,Here’s when iPhones may get more expensive - CNN,Neutral
Apple,What’s Wrong With Apple? - The New York Times,Negative
Apple,"Apple airlifts more than 1 million iPhones out of India to avoid Trump tariffs, Reuters reports - CBS News",Positive
Apple,What the tariff pause and China escalation mean for Apple shares - CNBC,Negative
Apple,Controlling Language and Diffusion Models by Transporting Activations - Apple Machine Learning Research,Neutral
Apple,"Stocks slide as Dow drops 600 points, Apple, Tesla, Nvidia lose nearly 4% - Business Today",Positive
Apple,Apple might import more iPhones from India to sidestep China tariffs - TechCrunch,Positive
Apple,Microsoft dethrones Apple as most valuable public company amid $350 iPhone tariff problem - Business Today,Positive
Apple,Will iPhones cost more because of Trump's tariffs on China? - BBC,Positive
Apple,Donald Trump wants Apple to make iPhones in the US — but the price might shock you - Mint,Positive
Apple,White House insists iPhones will be US-made – but Apple calls it a non-starter - The Guardian,Neutral
Apple,"Apple’s Steve Jobs dealt with the 2008 financial crisis by investing his way through the downturn, instead of slashing jobs and budgets—2 years later the iconic iPad was launched - Fortune",Positive
Apple,Apple airlifts 1.5 million iPhones from India to US 'to beat' Trump tariffs: Report - Hindustan Times,Neutral
Apple,"Trump's tariffs: Apple, Samsung to up dispatch of India-made stuff - Times of India",Neutral
Apple,Watch These Apple Stock Price Levels Amid Tariff-Fueled Volatility - Investopedia,Neutral
Apple,Massive consignments of Apple products were flown out of Chennai airport in the past few months - The Hindu,Negative
Apple,"Apple is left without a life raft as Trump’s China trade war intensifies, analysts warn - CNBC",Neutral
Apple,"Apple adds $400 billion to its market cap in one day, thanks to Donald Trump - Times of India",Positive
Apple,"WHAT THE CLASH? joins Apple Arcade in May, among five new games - Apple",Positive
Apple,How's Apple going to get out of its China jam? - Business Insider,Neutral
Apple,Apple's 3-day loss in market cap swells to almost $640 billion - CNBC,Neutral
Apple,Apple airlifts iPhones from India and China to US to beat the tariff deadline: Report - Mint,Neutral
Apple,Apple's $640 billion erosion in three days is equal to market cap of four Nifty 50 heavyweights - CNBC TV18,Neutral
Apple,"Apple’s iPhone Cost Could Rise 90% If It’s Made in US, BofA Says - Bloomberg.com",Neutral
Apple,Why Trump’s Dream of Made-in-the-USA iPhones Isn’t Going to Happen - Bloomberg.com,Neutral
Apple,Apple airlifted 600 tons of iPhones to the U.S. to try to beat Trump’s tariffs as customers scramble to secure devices before possible price increases - Yahoo Finance,Positive
Apple,Apple Stock Falls After Getting Two Negative Reports - Investor's Business Daily,Negative
Apple,These Apple users to finally get this much waited Instagram update- Here’s what we know - Hindustan Times,Positive
Apple,"Apple could give iPhone a radical makeover for its 20th anniversary, report says - Mint",Neutral
Apple,Apple's formula can mean a bumper crop: Is India ready? - The Economic Times,Positive
Apple,Apple eyes India for iPhone production as China faces 54% tariff: Report - The Economic Times,Positive
Apple,Apple Stock Resumes Its Slide After Posting Best Day Since 1998 - Investopedia,Positive
Apple,Apple and other companies could be exempted from Trump's tariffs - GSMArena.com news - GSMArena.com,Negative
Apple,An American-Made iPhone: Just Expensive or Completely Impossible? - WSJ,Negative
Apple,White House says iPhones can be made in the U.S. It won’t be easy. - The Washington Post,Positive
Apple,"Apple, Nvidia, Meta, and more Magnificent 7 stocks slide as the Nasdaq rally kicks into reverse - Yahoo Finance",Positive
Apple,Apple’s Worldwide Developers Conference returns the week of June 9 - Apple,Neutral
Apple,Apple TV+ unveils trailer for “Long Way Home” with Ewan McGregor and Charley Boorman - Apple,Negative
Apple,Apple Watch new Vitals app helps woman detect her cancer early - India Today,Positive
Apple,Apple's 4-day slide puts Microsoft back on top as most valuable company - CNBC,Positive
Apple,Here Are The 8 New Emoji Apple Brought To Your iPhone With iOS 18.4 - CNET,Positive
Apple,Report Reveals Internal Chaos Behind Apple's Siri Failure - MacRumors,Negative
Apple,I Drank Apple Cider Vinegar Every Day for a Week—Here's How I Felt - Verywell Mind,Neutral
Apple,Apple Stock Leads Tech Rebound After Worst 4-Day Stretch Since 2000 - Investopedia,Negative
Apple,Apple has best day since 1998 on Trump's 90-day tariff pause - CNBC,Positive
Apple,"Apple-UK data privacy row should not be secret, court rules - BBC",Negative
Apple,"Apple CEO Tim Cook is facing the most daunting moment of his career, but the former COO might be uniquely suited to navigate a tariff meltdown - Fortune",Positive
Apple,Apple celebrates iPhone 16 release day in one more country - 9to5Mac,Positive
Apple,Apple iPhone Price Hikes Are Now Looking Possible in the US - Bloomberg.com,Neutral
Apple,"EU decisions on Apple, Meta due in coming weeks, antitrust chief says - Reuters",Negative
Apple,"Could iPhones Really Cost $3,500 With Trump's Tariffs? We Do the Math - CNET",Positive
Apple,"Apple Vision Pro: Should You Buy? Reviews, Features, and Price - MacRumors",Neutral
Apple,Apple Has Trade War Lessons for TSMC - Bloomberg.com,Neutral
Apple,Tech analyst responds to Trump wanting Apple to make iPhones in U.S.: 'I don't think that's a thing' - CNBC,Neutral
Apple,Tools like Apple’s photo Clean Up are yet another nail in the coffin for being able to trust our eyes - The Conversation,Positive
Apple,Tomorrow's the Deadline to Claim Your Part of the $20 Million Apple Watch Payout - CNET,Neutral
Apple,EU preparing first fines against tech giants Apple and Meta - EL PAÍS English,Positive
Apple,Apples Grow On Sugarcane Fields When A Kolhapur Farmer Dreams Cultivating A Northern Crop In Southern Soil - ETV Bharat,Neutral
Apple,"iPhone could triple in price to $3,500 if they’re made in the US - CNN",Neutral
Apple,Exclusive: Apple supplier Luxshare weighs manufacturing in U.S. to tackle tariffs - Reuters,Neutral
Apple,Why BofA Says Apple’s Recent Tariff-Fueled Slump Could Be an Opportunity To Buy - Investopedia,Neutral
Apple,"JPMorgan, Wells Fargo, BlackRock, Morgan Stanley, Tesla, Apple, and More Market Movers - Barron's",Positive
Apple,Apple - statistics & facts - Statista,Neutral
Apple,Apple’s supply chain under pressure from tariffs amid price hike speculation - South China Morning Post,Neutral
Apple,Apple Stock Catches an Upgrade. It Isn’t a Buy Now. - Barron's,Neutral
Apple,"Apple to Amazon: Why major Nasdaq, Dow stocks are up today | Explained - Hindustan Times",Positive
Apple,Apple and the other tech stocks with the most China manufacturing exposure as trade war breaks out - CNBC,Positive
Amazon,Announcing up to 85% price reductions for Amazon S3 Express One Zone | Amazon Web Services - Amazon Web Services,Neutral
Amazon,Amazon CEO Says Generative AI Will Reinvent Every Customer Experience - WSJ,Neutral
Amazon,"Amazon Ultimate Furniture Sale is LIVE! Minimum 40% off on mattresses, beds, recliners and more - Hindustan Times",Positive
Amazon,Jeff Bezos dinner at Mar-a-Lago 'led' to Melania Trump's $40 million Amazon Prime project that will also - Times of India,Neutral
Amazon,"Middle managers under fire: Layoffs at Google, Amazon and other big firms - peoplematters.in",Negative
Amazon,"Limited time Amazon deals: 70% off on best vacuum cleaners from top brands like Eureka Forbes, Dyson, and more - Mint",Positive
Amazon,"Samsung Galaxy S24 Ultra Gets Massive Price Cut On Amazon, Available At Just Rs 42,712 With Offers - Times Now",Positive
Amazon,Amazon Fresh Sees 90% Repeat Orders in Jaipur - Rediff MoneyWiz,Positive
Amazon,Amazon CEO sets out AI investment mission in annual shareholder letter - The Hindu,Neutral
Amazon,"Chinese sellers on Amazon to hike prices or exit US as tariffs soar, association says - Deccan Herald",Neutral
Amazon,How Jeff Bezos-Trump dinner at Mar-a-Lago helped Melania secure $40 million Amazon documentary deal - The Economic Times,Positive
Amazon,ICE director says US deportations should be run like ‘Amazon Prime’ – Here’s why - Mint,Neutral
Amazon,H-1B crackdown could hit tech giants hard – especially Amazon - Scroll.in,Negative
Amazon,LinkedIn names Amazon a top US company where people want to work for the eighth year in a row - AboutAmazon.com,Positive
Amazon,"Amazon Mega Electronics Days starts today! Up to 75% off on laptops, tablets, headphones and more - Hindustan Times",Positive
